Title,Image,fidogreentexthover_pcontainsclass_my1,my1_URL,fidobluetext_URL,fidobluetext,Number,Status,ZipCode,Description,btn_URL,btn,btn_URL2,btn3,btn4
"
Jacob 
Male Dog 
",https://img-cdn.pawboost.com/1705818306/lost_pet_5276-1000x1000.jpeg,"
Reported
7 hours ago,
updated 20 mins ago ",https://www.pawboost.com/landing/pet/gusZ1clQ1VfVl_C2CbZ0qMz1EcyBxW4j/reunited-jacob-miami-fl-33185,https://www.pawboost.com/landing/moderate/gusZ1clQ1VfVl_C2CbZ0qMz1EcyBxW4j,"
Male Dog ",69940426,2,"Miami, FL 33185",,https://www.facebook.com/LostFoundPetsMiamiFL/posts/705473258396240, Facebook ,https://nextdoor.com/sharekit/?source=Pawboost&body=Please%20spread%20the%20word%21%20Jacob%20was%20LOST%20on%20January%2020%2C%202024%20in%20Miami%2C%20FL%2033185%20near%20Lakes%20Of%20The%20Meadow%20%0A%0ADescription%3A%20%20%0A%0AFor%20more%20info%20or%20to%20contact%20Jacob%27s%20owner%2C%20click%20here%3A%20https%3A%2F%2Fwww.pawboost.com%2Fnd%2F69940426%20%0A%0ALost%20or%20found%20a%20pet%3F%20Report%20it%20to%20PawBoost%20here%3A%20https%3A%2F%2Fpbrs.io%2Fl%2Fndrp&hashtag=PawBoost, Share On , View Pet 
"
Unknown 
Male Dog 
",https://img-cdn.pawboost.com/1705818319/64689137-compress.jpg,"
Reported
10 hours ago,
updated 7 hours ago ",https://www.pawboost.com/landing/pet/qOjSBGAP3qWWej7-zot7k_uqUR6Zv-s7/reunited-unknown-miami-fl-33143,https://www.pawboost.com/landing/moderate/qOjSBGAP3qWWej7-zot7k_uqUR6Zv-s7,"
Male Dog ",69940230,2,"Miami, FL 33143",yellow golden retriever,https://www.facebook.com/LostFoundPetsMiamiFL/posts/705407018402864, Facebook ,https://nextdoor.com/sharekit/?source=Pawboost&body=Please%20spread%20the%20word%20so%20we%20can%20find%20this%20pet%27s%20family%21%20FOUND%20on%20January%2020%2C%202024%20in%20Miami%2C%20FL%2033143%20near%20Near%20SW%2082nd%20St%2C%20Miami%2C%20FL%2033143%2C%20USA%20%0A%0AMessage%20from%20Finder%3A%20I%20found%20this%20pet%20on%20the%20way%20home%20and%20would%20love%20to%20return%20him%20back%20to%20the%20owner%21%20%0A%0ADescription%3A%20yellow%20golden%20retriever%20%0A%0ADo%20you%20have%20information%3F%20Contact%20finder%20here%3A%20https%3A%2F%2Fwww.pawboost.com%2Fnd%2F69940230%20%0A%0ALost%20or%20found%20a%20pet%3F%20Report%20it%20to%20PawBoost%20here%3A%20https%3A%2F%2Fpbrs.io%2Fl%2Fndrp&hashtag=PawBoost, Share On , View Pet 
"
this pet 
Male Dog 
",https://img-cdn.pawboost.com/1705802751/35829720-compress.jpg,"
Reported
13 hours ago,
updated 12 hours ago ",https://www.pawboost.com/landing/pet/5IhM6YO_wZw3JFmSmuxtDQm2I_cootl6/reunited-thispet-miami-fl-33157,https://www.pawboost.com/landing/moderate/5IhM6YO_wZw3JFmSmuxtDQm2I_cootl6,"
Male Dog ",69939826,2,"Miami, FL 33157",Dog was reunited with mom and dad :) ,https://www.facebook.com/LostFoundPetsMiamiFL/posts/705326008410965, Facebook ,https://nextdoor.com/sharekit/?source=Pawboost&body=Please%20spread%20the%20word%20so%20we%20can%20find%20this%20pet%27s%20family%21%20FOUND%20on%20January%2020%2C%202024%20in%20Miami%2C%20FL%2033157%20near%20Behind%20Publix%20in%20160str.%20Found%20around%207%20pm%20on%201%2F20%2F24.%20He%20is%20partially%20blind%20%20%0A%0ADescription%3A%20He%20is%20partially%20blind%20.%20He%20can%20barely%20see.%20Legit%20was%20chillen%20front%20of%20hse.%20He%20is%20a%20yorkie.%20%20%0A%0ADo%20you%20have%20information%3F%20Contact%20finder%20here%3A%20https%3A%2F%2Fwww.pawboost.com%2Fnd%2F69939826%20%0A%0ALost%20or%20found%20a%20pet%3F%20Report%20it%20to%20PawBoost%20here%3A%20https%3A%2F%2Fpbrs.io%2Fl%2Fndrp&hashtag=PawBoost, Share On , View Pet 
"
Sammy 
Male Cat 
",https://img-cdn.pawboost.com/1705767155/99451767-compress.jpg,"
Reported
2 days ago,
updated 21 hours ago ",https://www.pawboost.com/landing/pet/OElQtOkWSRSKMtq_1vstO0umEU_rZqun/reunited-sammy-palmetto-bay-fl-33157,https://www.pawboost.com/landing/moderate/OElQtOkWSRSKMtq_1vstO0umEU_rZqun,"
Male Cat ",69935480,2,"Palmetto Bay, FL 33157","2 month old orange kitten, very sweet, will come to you if called, will allow you to pick him up.",https://www.facebook.com/LostFoundPetsMiamiFL/posts/704440911832808, Facebook ,https://nextdoor.com/sharekit/?source=Pawboost&body=Please%20spread%20the%20word%21%20Sammy%20was%20LOST%20on%20January%2018%2C%202024%20in%20Palmetto%20Bay%2C%20FL%2033157%20near%20Palmetto%20Bay%2C%20FL%2C%20USA%20%0A%0ADescription%3A%202%20month%20old%20orange%20kitten%2C%20very%20sweet%2C%20will%20come%20to%20you%20if%20called%2C%20will%20allow%20you%20to%20pick%20him%20up.%20%0A%0AFor%20more%20info%20or%20to%20contact%20Sammy%27s%20owner%2C%20click%20here%3A%20https%3A%2F%2Fwww.pawboost.com%2Fnd%2F69935480%20%0A%0ALost%20or%20found%20a%20pet%3F%20Report%20it%20to%20PawBoost%20here%3A%20https%3A%2F%2Fpbrs.io%2Fl%2Fndrp&hashtag=PawBoost, Share On , View Pet 
"
Leia 
Female Dog 
",https://img-cdn.pawboost.com/1705729715/29433342-compress.jpg,"
Reported
3 weeks ago,
updated 1 day ago ",https://www.pawboost.com/landing/pet/QZ_TitN2QFTawNu2b8ZN0GG9h8vSMYuC/reunited-leia-miami-fl-33186,https://www.pawboost.com/landing/moderate/QZ_TitN2QFTawNu2b8ZN0GG9h8vSMYuC,"
Female Dog ",69871615,2,"Miami, FL 33186","Leia is a small Yorkie that is missing her left eye. Her hair is light brown and silver. She was wearing a black ""Adidog"" sweater and a pink collar with a tag when she was last seen. ",https://www.facebook.com/LostFoundPetsMiamiFL/posts/692836836326549, Facebook ,https://nextdoor.com/sharekit/?source=Pawboost&body=Please%20spread%20the%20word%21%20Leia%20was%20LOST%20on%20December%2028%2C%202023%20in%20Miami%2C%20FL%2033186%20near%20122nd%20Ave%20and%2096th%20Street%20%0A%0ADescription%3A%20Leia%20is%20a%20small%20Yorkie%20that%20is%20missing%20her%20left%20eye.%20Her%20hair%20is%20light%20brown%20and%20silver.%20She%20was%20wearing%20a%20black%20%22Adidog%22%20sweater%20and%20a%20pink%20collar%20with%20a%20tag%20when%20she%20was%20last%20seen.%20%20%0A%0AFor%20more%20info%20or%20to%20contact%20Leia%27s%20owner%2C%20click%20here%3A%20https%3A%2F%2Fwww.pawboost.com%2Fnd%2F69871615%20%0A%0ALost%20or%20found%20a%20pet%3F%20Report%20it%20to%20PawBoost%20here%3A%20https%3A%2F%2Fpbrs.io%2Fl%2Fndrp&hashtag=PawBoost, Share On , View Pet 
"
Michu 
Male Cat 
",https://img-cdn.pawboost.com/1705718645/60994706-compress.jpg,"
Reported
2 days ago,
updated 1 day ago ",https://www.pawboost.com/landing/pet/0VqVjLCcBdiZ08wtVuZtx_i-nUdHnt_U/reunited-michu-miami-lakes-fl-33014,https://www.pawboost.com/landing/moderate/0VqVjLCcBdiZ08wtVuZtx_i-nUdHnt_U,"
Male Cat ",69936746,2,"Miami Lakes, FL 33014",Thank you ,https://www.facebook.com/LostFoundPetsMiamiFL/posts/704663918477174, Facebook ,https://nextdoor.com/sharekit/?source=Pawboost&body=Please%20spread%20the%20word%21%20Michu%20was%20LOST%20on%20January%2019%2C%202024%20in%20Miami%20Lakes%2C%20FL%2033014%20near%20miami%20lake%20way%20n%20%20%0A%0ADescription%3A%204%20months%20little%20kitty%20and%20he%27s%20missing%20an%20eye%20%0A%0AFor%20more%20info%20or%20to%20contact%20Michu%27s%20owner%2C%20click%20here%3A%20https%3A%2F%2Fwww.pawboost.com%2Fnd%2F69936746%20%0A%0ALost%20or%20found%20a%20pet%3F%20Report%20it%20to%20PawBoost%20here%3A%20https%3A%2F%2Fpbrs.io%2Fl%2Fndrp&hashtag=PawBoost, Share On , View Pet 
"
Nemo 
Female Cat 
",https://img-cdn.pawboost.com/1705714391/IMG_3346-500x500.jpg,"
Reported
2 weeks ago,
updated 2 days ago ",https://www.pawboost.com/landing/pet/nqcYWDtzaU4bqF9WcO4se2qQHHHiyXMj/reunited-nemo-miami-fl-33130,https://www.pawboost.com/landing/moderate/nqcYWDtzaU4bqF9WcO4se2qQHHHiyXMj,"
Female Cat ",69897081,2,"Miami, FL 33130","Thanks to everyone that offered tips, info, support and shared their concern as well as offered moral support, to everyone that cared enough to read and reach out. Nemo is back home",https://www.facebook.com/LostFoundPetsMiamiFL/posts/704747858468780, Facebook ,https://nextdoor.com/sharekit/?source=Pawboost&body=Please%20spread%20the%20word%21%20Nemo%20was%20LOST%20on%20January%204%2C%202024%20in%20Miami%2C%20FL%2033130%20near%20Central%20Miami%20seventh%20day%20adventist%20church%20429%20sw%208th%20ct%2033130%20%0A%0AMessage%20from%20Owner%3A%20We%20miss%20you%20Nemo%2C%20please%20come%20back%20%2C%20you%20are%20over%20a%20decade%20old%2C%20what%20were%20you%20thinking%20jumping%20out%20the%20window%20%F0%9F%A4%A6%F0%9F%8F%BD%E2%80%8D%E2%99%82%EF%B8%8F%20%0A%0ADescription%3A%20Brown%20with%20some%20black%20stripes%20and%20a%20bit%20pudgy%20%F0%9F%98%8A%20%0A%0AFor%20more%20info%20or%20to%20contact%20Nemo%27s%20owner%2C%20click%20here%3A%20https%3A%2F%2Fwww.pawboost.com%2Fnd%2F69897081%20%0A%0ALost%20or%20found%20a%20pet%3F%20Report%20it%20to%20PawBoost%20here%3A%20https%3A%2F%2Fpbrs.io%2Fl%2Fndrp&hashtag=PawBoost, Share On , View Pet 
"
Ronald Weasley 
Male Cat 
",https://img-cdn.pawboost.com/1705698606/7420121-compress.jpg,"
Reported
2 days ago,
updated 2 days ago ",https://www.pawboost.com/landing/pet/bsU0XFJmLacwMgdoFNZLnCdMuakdISRP/reunited-ronaldweasley-miami-fl-33155,https://www.pawboost.com/landing/moderate/bsU0XFJmLacwMgdoFNZLnCdMuakdISRP,"
Male Cat ",69936005,2,"Miami, FL 33155","Teal collar, scratch on his eye. Friendly kitten ",https://www.facebook.com/LostFoundPetsMiamiFL/posts/704584451818454, Facebook ,https://nextdoor.com/sharekit/?source=Pawboost&body=Please%20spread%20the%20word%21%20Ronald%20Weasley%20was%20LOST%20on%20January%2019%2C%202024%20in%20Miami%2C%20FL%2033155%20near%20Gables%20point%20%20%0A%0AMessage%20from%20Owner%3A%20Reward%20if%20found.%20Thank%20you%2C%20he%E2%80%99s%20a%20beautiful%20kitten%20%0A%0ADescription%3A%20Teal%20collar%2C%20scratch%20on%20his%20eye.%20Friendly%20kitten%20%20%0A%0AFor%20more%20info%20or%20to%20contact%20Ronald%20Weasley%27s%20owner%2C%20click%20here%3A%20https%3A%2F%2Fwww.pawboost.com%2Fnd%2F69936005%20%0A%0ALost%20or%20found%20a%20pet%3F%20Report%20it%20to%20PawBoost%20here%3A%20https%3A%2F%2Fpbrs.io%2Fl%2Fndrp&hashtag=PawBoost, Share On , View Pet 
"
Nikki 

",https://s3.amazonaws.com/findfido/1479140812/48472529-compress.jpg,"
Reported
7 years ago,
updated 2 days ago ",https://www.pawboost.com/landing/pet/7iYYVDkQTrddwnDjAPJUQ68svV3W9Fx_/reunited-nikki-homestead-fl-33034,https://www.pawboost.com/landing/moderate/7iYYVDkQTrddwnDjAPJUQ68svV3W9Fx_,"
",64524124,2,"Homestead, FL 33034",Friendly last seen with pink color that says the name Nikki Family dog from Out of town,https://www.facebook.com/FloridaLostPets/posts/416107642110676, Facebook ,https://nextdoor.com/sharekit/?source=Pawboost&body=Please%20spread%20the%20word%21%20Nikki%20was%20LOST%20on%20%20in%20Homestead%2C%20FL%2033034%20near%20Redland%2C%20FL%20%0A%0ADescription%3A%20Friendly%20last%20seen%20with%20pink%20color%20that%20says%20the%20name%20Nikki%20Family%20dog%20from%20Out%20of%20town%20%0A%0AFor%20more%20info%20or%20to%20contact%20Nikki%27s%20owner%2C%20click%20here%3A%20https%3A%2F%2Fwww.pawboost.com%2Fnd%2F64524124%20%0A%0ALost%20or%20found%20a%20pet%3F%20Report%20it%20to%20PawBoost%20here%3A%20https%3A%2F%2Fpbrs.io%2Fl%2Fndrp&hashtag=PawBoost, Share On , View Pet 
"
Quino 
Male Dog 
",https://img-cdn.pawboost.com/1705621790/11033708-compress.jpg,"
Reported
5 days ago,
updated 3 days ago ",https://www.pawboost.com/landing/pet/qRYhAPyDSU3HO3tUTpSWoHYTgX0BPjgh/reunited-quino-miami-fl-33147,https://www.pawboost.com/landing/moderate/qRYhAPyDSU3HO3tUTpSWoHYTgX0BPjgh,"
Male Dog ",69927883,2,"Miami, FL 33147",Golden retriever ,https://www.facebook.com/LostFoundPetsMiamiFL/posts/702860431990856, Facebook ,https://nextdoor.com/sharekit/?source=Pawboost&body=Please%20spread%20the%20word%21%20Quino%20was%20LOST%20on%20January%2015%2C%202024%20in%20Miami%2C%20FL%2033147%20near%20Near%20ave%20%0A%0AMessage%20from%20Owner%3A%20Please%20let%20us%20know%20if%20you%20see%20him%20or%20have%20found%20him%20he%20is%20very%20allergic%20to%20most%20foods%20he%20has%20special%20%20and%20food%20%20%0A%0ADescription%3A%20Golden%20retriever%20%20%0A%0AFor%20more%20info%20or%20to%20contact%20Quino%27s%20owner%2C%20click%20here%3A%20https%3A%2F%2Fwww.pawboost.com%2Fnd%2F69927883%20%0A%0ALost%20or%20found%20a%20pet%3F%20Report%20it%20to%20PawBoost%20here%3A%20https%3A%2F%2Fpbrs.io%2Fl%2Fndrp&hashtag=PawBoost, Share On , View Pet 
